label,n_events,spin_period_ms,mean_free_path_units,lag_median_ms,lag_scale_ms,torus_radius_median,torus_radius_std,torus_radius_q16,torus_radius_q84,n_windings_median,n_windings_std,n_windings_q16,n_windings_q84
effective transport scale,2088,1500.0,1.0,19714.667373981632,27141.900253783933,9.087383795588664,5.173985231311456,3.789280006692072,14.538672618019913,1.4463020508411257,0.8234653250476818,0.6030826438243336,2.313901613152656
fast engine scale,2088,1.5,1.0,19714.667373981632,27141.900253783933,287.36830766166173,163.61577911017343,119.82755513285026,459.75319628466093,45.73608665230604,26.040260013215768,19.071147718009733,73.1719937910022
more transparent transport,2088,1500.0,3.0,19714.667373981632,27141.900253783933,15.739810441837676,8.961605298242452,6.563225495695604,25.181719649020913,0.8350228783826319,0.47542792708460174,0.34818992675557014,1.3359317192319955
denser transport,2088,1500.0,0.3,19714.667373981632,27141.900253783933,4.977365093550827,2.833908423387869,2.0754741363685745,7.963158949072196,2.6405741940388943,1.5034351128397974,1.1010732268748036,4.224587031237675
