instrument,filename,grb_name,grb_time_utc,ra,dec,lag_ms,lag_error,lag_significance,lag_type,lag_class,t90_s,duration_class,lag_observed_ms,lag_model_ms,torus_radius_units,n_diffusive_windings,transport_product_ms
Fermi/GBM,glg_tte_n9_bn110407998_v00.fit,GRB110407998,2011-04-07T23:56:57.060,94.1,-17.117,3841.657901159014,3.904005980185078,984.029717335856,positive,significant_positive,9.024,long,3841.657901159014,3841.6579011590147,4.011470925547775,0.6384454268703489,3841.657901159014
Fermi/GBM,glg_tte_n9_bn110909116_v00.fit,GRB110909116,2011-09-09T02:46:58.190,346.640625,-23.6433142557656,49730.23511434847,2.898694101521821,17156.082488400545,positive,significant_positive,20.736,long,49730.23511434847,49730.23511434848,14.432931847989414,2.297072446915959,49730.23511434847
Fermi/GBM,glg_tte_n9_bn170903534_v02.fit,GRB170903534,2017-09-03T12:49:07.789,251.9833,32.6,-2210.2021238868574,2.585442299448656,854.8642235636748,negative,significant_negative,25.6,long,2210.2021238868574,2210.202123886858,3.0427081698932854,0.48426204562461084,2210.2021238868574
Fermi/GBM,glg_tte_n9_bn170910368_v00.fit,GRB170910368,2017-09-10T08:50:00.358,243.8833,-5.1,-3869.048505188168,3.0875191038800067,1253.1253653867382,negative,significant_negative,27.392,long,3869.048505188168,3869.0485051881687,4.025746201684307,0.6407174076314798,3869.048505188168
Fermi/GBM,glg_tte_n9_bn170911267_v00.fit,GRB170911267,2017-09-11T06:24:22.794,30.7,22.133,-11600.760997126412,2.878014397003055,4030.821044261127,negative,significant_negative,19.968,long,11600.760997126412,11600.760997126412,6.970879000013636,1.1094498505476587,11600.760997126412
Fermi/GBM,glg_tte_n9_bn170912273_v00.fit,GRB170912273,2017-09-12T06:33:46.914,211.3833,-56.817,178.94736023018336,3.1925055643192306,56.05232524264749,positive,significant_positive,13.568,long,178.94736023018336,178.9473602301834,0.865778811073922,0.13779297740663884,178.94736023018336
Fermi/GBM,glg_tte_n9_bn170912985_v00.fit,GRB170912985,2017-09-12T23:38:12.673,84.9,15.4,-62689.53036286552,3.045194572225279,20586.37925295364,negative,significant_negative,0.48,short,62689.53036286552,62689.5303628655,16.204730504597418,2.5790629612787024,62689.53036286552
Fermi/GBM,glg_tte_n9_bn170915161_v00.fit,GRB170915161,2017-09-15T03:51:30.157,110.2333,-36.967,-4659.266110457512,2.537511942788458,1836.1553425192828,negative,significant_negative,15.613,long,4659.266110457512,4659.266110457513,4.417769600712289,0.7031098693944695,4659.266110457512
Fermi/GBM,glg_tte_n9_bn170915520_v00.fit,GRB170915520,2017-09-15T12:28:16.266,263.6667,-25.233,49240.91951793597,3.325221088142344,14808.31445870708,positive,significant_positive,0.64,short,49240.91951793597,49240.919517935974,14.36175063672271,2.285743605287595,49240.91951793597
Fermi/GBM,glg_tte_n9_bn170916700_v00.fit,GRB170916700,2017-09-16T16:47:31.332,96.8833,9.017,5351.841581810498,3.070785025578365,1742.825218057232,positive,significant_positive,5.12,long,5351.841581810498,5351.841581810499,4.734737753609625,0.7535569177307883,5351.841581810498
Fermi/GBM,glg_tte_n9_bn170918139_v00.fit,GRB170918139,2017-09-18T03:20:22.880,52.9833,-23.8,-8758.945876664919,2.813261599346056,3113.4487737297304,negative,significant_negative,0.128,short,8758.945876664919,8758.945876664919,6.057176462051288,0.9640295751153407,8758.945876664919
Fermi/GBM,glg_tte_n9_bn170921168_v00.fit,GRB170921168,2017-09-21T04:02:11.511,131.85,51.633,-6650.931927893736,2.801706779534097,2373.885795786144,negative,significant_negative,39.361,long,6650.931927893736,6650.931927893736,5.278196520807306,0.8400510668969268,6650.931927893736
Fermi/GBM,glg_tte_n9_bn170923101_v00.fit,GRB170923101,2017-09-23T02:25:00.800,123.6333,-62.1,33108.85512465707,3.6010006153213747,9194.348644037163,positive,significant_positive,46.08,long,33108.85512465707,33108.85512465707,11.776504066906071,1.8742888345899098,33108.85512465707
Fermi/GBM,glg_tte_n9_bn170923188_v00.fit,GRB170923188,2017-09-23T04:31:05.437,282.1,85.733,-55229.477817557534,2.606560655084334,21188.6409433164,negative,significant_negative,59.454,long,55229.477817557534,55229.477817557534,15.210019582421722,2.420749801066943,55229.477817557534
Fermi/GBM,glg_tte_n9_bn170923566_v00.fit,GRB170923566,2017-09-23T13:35:34.051,217.0833,-12.117,30079.46145757747,2.9723054369672592,10119.909307930524,positive,significant_positive,27.648,long,30079.46145757747,30079.46145757747,11.224818640795506,1.7864853719926548,30079.46145757747
Fermi/GBM,glg_tte_n9_bn170926528_v00.fit,GRB170926528,2017-09-26T12:39:41.225,159.2833,-9.183,1569.0768495709292,4.256430807686882,368.63675705411725,positive,significant_positive,15.36,long,1569.0768495709292,1569.0768495709297,2.5636953286301005,0.4080247841330816,1569.0768495709292
Fermi/GBM,glg_tte_n9_bn170926782_v00.fit,GRB170926782,2017-09-26T18:46:05.164,337.2,-21.417,22059.915956794182,2.6122413087455407,8444.823180362257,positive,significant_positive,0.896,short,22059.915956794182,22059.915956794182,9.61271865177747,1.5299116899820442,22059.915956794182
Fermi/GBM,glg_tte_n9_bn170928607_v00.fit,GRB170928607,2017-09-28T14:34:47.265,297.9833,38.417,3129.930518840012,3.089122115504431,1013.2103561496524,positive,significant_positive,9.216,long,3129.930518840012,3129.930518840012,3.620859331564681,0.576277660858935,3129.930518840012
Fermi/GBM,glg_tte_n9_bn170929513_v00.fit,GRB170929513,2017-09-29T12:18:59.265,188.4833,21.1,-1868.844059156709,3.628697404780375,515.0178840194088,negative,significant_negative,9.472,long,1868.844059156709,1868.8440591567087,2.797891293325897,0.44529822956659254,1868.844059156709
Fermi/GBM,glg_tte_n9_bn170929699_v00.fit,GRB170929699,2017-09-29T16:46:16.238,31.7833,20.1,11990.04440337208,2.6751965672254947,4481.930244029589,positive,significant_positive,8.96,long,11990.04440337208,11990.04440337208,7.086873820790014,1.1279109996472776,11990.04440337208
Fermi/GBM,glg_tte_n9_bn171002969_v00.fit,GRB171002969,2017-10-02T23:15:13.153,178.7833,31.183,-32570.623522657057,2.941360821096644,11073.31793129466,negative,significant_negative,7.936,long,32570.623522657057,32570.623522657057,11.680389923949075,1.8589917936372629,32570.623522657057
Fermi/GBM,glg_tte_n9_bn171004672_v00.fit,GRB171004672,2017-10-04T16:07:16.421,56.1167,-41.183,5210.34311693151,3.0496977097347235,1708.4785486443277,positive,significant_positive,48.125,long,5210.34311693151,5210.343116931509,4.67172711229786,0.7435284626986304,5210.34311693151
Fermi/GBM,glg_tte_n9_bn171004857_v00.fit,GRB171004857,2017-10-04T20:33:35.382,49.65,-59.45,-23270.627860151148,2.848650974530856,8168.999315187634,negative,significant_negative,8.192,long,23270.627860151148,23270.627860151144,9.87298222624909,1.5713339243659679,23270.627860151148
Fermi/GBM,glg_tte_n9_bn171007498_v00.fit,GRB171007498,2017-10-07T11:57:39.904,88.0667,69.417,9151.220467845716,2.9577070194437614,3094.025340470244,positive,significant_positive,3.456,long,9151.220467845716,9151.220467845716,6.191328020510048,0.9853804587675338,9151.220467845716
Fermi/GBM,glg_tte_n9_bn171008080_v00.fit,GRB171008080,2017-10-08T01:54:38.894,226.3333,43.017,-33902.34361484841,2.97947342990498,11378.63599472663,negative,significant_negative,1.472,short,33902.34361484841,33902.34361484841,11.916786683212026,1.8966155064048662,33902.34361484841
