label,n_events,spin_period_ms,mean_free_path_units,lag_median_ms,lag_scale_ms,torus_radius_median,torus_radius_std,torus_radius_q16,torus_radius_q84,n_windings_median,n_windings_std,n_windings_q16,n_windings_q84
compact 150 km transport radius,447,3.1415926535897927,2.5361827847010662e-05,19902.0388741612,45479.37182242738,1.0047408459209672,0.9007275021375857,0.28917891150391767,2.2677650398396114,6305.1241069559765,5652.401522822789,1814.7056860969515,14231.072698650329
extended 10 r_LC illustrative geometry,447,1314.3111582654421,1.0610329539459689,19902.0388741612,45479.37182242738,10.047408459209672,9.007275021375857,2.8917891150391766,22.67765039839611,1.507111268881451,1.3510912532063786,0.43376836725587653,3.401647559759417
more transparent transport,447,3.1415926535897927,7.608548354103199e-05,19902.0388741612,45479.37182242738,1.7402621935748481,1.5601057974769028,0.5008725672022495,3.9278842686306663,3640.2651004250315,3263.4155407695885,1047.7208163680195,8216.313653422903
denser transport,447,3.1415926535897927,7.608548354103198e-06,19902.0388741612,45479.37182242738,0.5503192257577362,0.4933487710860384,0.1583898129854859,1.2421060674417568,11511.52900416468,10319.82606042198,3313.184131693965,25982.265115155682
